ATHLETE,TIME,DATE,YEAR,COUNTRY,GENDER
George Touquet-Daunis,16:34.6,10/31/1897,1897,France,MALE
George Touquet-Daunis,16:29.2,05/22/1899,1899,France,MALE
Charles Bennett,15:29.8,7/22/1900,1900,United Kingdom,MALE
Alfred Shrubb,14:59.0,6/13/1904,1904,United Kingdom,MALE
Hannes Kolehmainen,14:36.6,6/10/1912,1912,Finland,MALE
Paavo Nurmi,14:35.4,9/12/1922,1922,Finland,MALE
Paavo Nurmi,14:28.2,6/19/1924,1924,Finland,MALE
Lauri Lehtinen,14:17.0,6/19/1932,1932,Finland,MALE
Taisto Maki,14:08.8,6/16/1939,1939,Finland,MALE
Gunder Hagg,13:58.2,9/20/1942,1942,Sweden,MALE
Emil Zatopek,13:57.2,5/30/1954,1954,Czechoslovakia,MALE
Vladmir Kuts,13:56.6,8/29/1954,1954,Soviet Union,MALE
Chris Chataway,13:51.6,10/13/1954,1954,United Kingdom,MALE
Vladmir Kuts,13:51.2,10/23/1954,1954,Soviet Union,MALE
Sandor Iharos,13:50.8,9/10/1955,1955,Hungary,MALE
Vladmir Kuts,13:46.8,9/18/1955,1955,Soviet Union,MALE
Sandor Iharos,13:40.6,10/23/1955,1955,Hungary,MALE
Gordon Pirie,13:36.8,6/19/1956,1956,United Kingdom,MALE
Vladmir Kuts,13:35.0,10/13/1957,1957,Soviet Union,MALE
Ron Clarke,13:34.8,1/16/1965,1965,Australia,MALE
Ron Clarke,13:33.6,2/1/1965,1965,Australia,MALE
Ron Clarke,13:25.8,6/4/1965,1965,Australia,MALE
Kipchoge Keino,13:24.2,11/30/1965,1965,Kenya,MALE
Ron Clarke,13:16.6,7/5/1966,1966,Australia,MALE
Lasse Viren,13:16.4,9/14/1972,1972,Finland,MALE
Emiel Puttemans,13:13.0,9/20/1972,1972,Belgium,MALE
Dick Quax,13:12.9,7/5/1977,1977,New Zealand,MALE
Henry Rono,13:08.4,4/8/1978,1978,Kenya,MALE
Henry Rono,13:06.2,9/13/1981,1981,Kenya,MALE
David Moorcroft,13:00.4,7/7/1982,1982,United Kingdom,MALE
Said Aouita,13:00.4,7/22/1985,1985,Morocco,MALE
Said Aouita,12:58.4,7/27/1987,1987,Morocco,MALE
Haile Gebrelassie,12:57.0,6/4/1994,1994,Ethiopia,MALE
Moses Kiptanui,12:55.3,6/8/1995,1995,Kenya,MALE
Haile Gebrelassie,12:44.4,8/16/1995,1995,Ethiopia,MALE
Haile Gebrelassie,12:41.9,8/13/1997,1997,Ethiopia,MALE
Daniel Komen,12:39.7,8/22/1997,1997,Kenya,MALE
Haile Gebrelassie,12:39.4,6/13/1998,1998,Ethiopia,MALE
Kenenisa Bekele,12:37.4,5/31/2004,2004,Ethiopia,MALE
Paola Pigni,16:17.4,5/11/1969,1969,Italy,FEMALE
Paola Pigni,15:53.6,9/2/1969,1969,Italy,FEMALE
Natalia Marasescu,15:41.4,3/16/1977,1977,Romania,FEMALE
Janice Merrill,15:37.0,7/11/1977,1977,United States,FEMALE
Kathy Mills,15:35.5,5/26/1978,1978,United States,FEMALE
Janice Merrill,15:33.8,5/19/1979,1979,United States,FEMALE
Janice Merrill,15:30.6,3/22/1980,1980,United States,FEMALE
Ingrid Kristiansen,15:28.4,7/11/1981,1981,Norway,FEMALE
Yelena Sipatova,15:24.6,9/6/1981,1981,Soviet Union,FEMALE
Paula Fudge,15:14.5,9/13/1981,1981,United Kingdom,FEMALE
Anne Audain,15:13.2,3/17/1982,1982,New Zealand,FEMALE
Mary Decker-Slaney,15:08.3,7/5/1982,1982,United States,FEMALE
Ingrid Kristiansen,14:58.9,6/28/1984,1984,Norway,FEMALE
Zola Budd,14:48.1,8/26/1985,1985,United Kingdom,FEMALE
Ingrid Kristiansen,14:37.3,8/5/1986,1986,Norway,FEMALE
Fernanda Riberio,14:36.5,7/22/1995,1995,Portugal,FEMALE
Dong Yanmei,14:31.3,10/21/1997,1997,China,FEMALE
Jiang Bo,14:28.1,10/23/1997,1997,Turkey,FEMALE
Elvan Abeylegesse,14:24.7,6/11/2004,2004,Ethiopia,FEMALE
Meseret Defar,14:24.5,6/3/2006,2006,Ethiopia,FEMALE
Meseret Defar,14:16.6,6/15/2007,2007,Ethiopia,FEMALE
Tirunesh Dibaba,14:11.2,6/6/2008,2008,Ethiopia,FEMALE
